captured_at,league,tournament,start_date,fixture_id,game_id,home_player,away_player,provider_player_name,provider_player_id,normalized_selection,book,market,market_id,line,is_main,over_price,under_price,over_implied_prob,under_implied_prob,overround,over_novig_prob,under_novig_prob,has_both_sides,over_odds_id,under_odds_id,grouping_key,odds_timestamp,odds_timestamp_utc
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Teodora Kostovic,E9CDAF26AAF5D1D3,teodora_kostovic,DraftKings,Player Games Won,player_games_won,12.5,True,110,-165,0.476190,0.622642,1.098832,0.433361,0.566639,True,33889-27513-2026-37:draftkings:player_games_won:teodora_kostovic_over_12_5,33889-27513-2026-37:draftkings:player_games_won:teodora_kostovic_under_12_5,teodora_kostovic:12.5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Kaitlin Quevedo,635381F93957A087,kaitlin_quevedo,DraftKings,Player Sets Won,player_sets_won,0.5,True,-380,260,0.791667,0.277778,1.069444,0.740260,0.259740,True,33889-27513-2026-37:draftkings:player_sets_won:kaitlin_quevedo_over_0_5,33889-27513-2026-37:draftkings:player_sets_won:kaitlin_quevedo_under_0_5,kaitlin_quevedo:0.5,1789675674.2838085,2026-09-17T20:07:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Teodora Kostovic,E9CDAF26AAF5D1D3,teodora_kostovic,DraftKings,Player Sets Won,player_sets_won,0.5,True,-250,175,0.714286,0.363636,1.077922,0.662651,0.337349,True,33889-27513-2026-37:draftkings:player_sets_won:teodora_kostovic_over_0_5,33889-27513-2026-37:draftkings:player_sets_won:teodora_kostovic_under_0_5,teodora_kostovic:0.5,1789675674.2838085,2026-09-17T20:07:54Z
2026-09-18T03:02:42Z,wta,"Guadalajara, Mexico",2026-09-18T23:00:00Z,202609189EABB4A1,16898-28676-2026-37,Cristina Bucsa,Iva Jović,Cristina Bucsa,B50E281C0FDD,cristina_bucsa,DraftKings,Player Sets Won,player_sets_won,0.5,True,-110,-125,0.523810,0.555556,1.079365,0.485294,0.514706,True,16898-28676-2026-37:draftkings:player_sets_won:cristina_bucsa_over_0_5,16898-28676-2026-37:draftkings:player_sets_won:cristina_bucsa_under_0_5,cristina_bucsa:0.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Guadalajara, Mexico",2026-09-18T23:00:00Z,202609189EABB4A1,16898-28676-2026-37,Cristina Bucsa,Iva Jović,Iva Jović,BB6088423E01,iva_jovi_,DraftKings,Player Sets Won,player_sets_won,0.5,True,-1100,550,0.916667,0.153846,1.070513,0.856287,0.143713,True,16898-28676-2026-37:draftkings:player_sets_won:iva_jovi_over_0_5,16898-28676-2026-37:draftkings:player_sets_won:iva_jovi_under_0_5,iva_jovi_:0.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Mary Stoiana,0B98FA5735D7A52D,mary_stoiana,BetMGM,Player Sets Won,player_sets_won,0.5,True,-155,105,0.607843,0.487805,1.095648,0.554780,0.445220,True,34794-32790-2026-37:betmgm:player_sets_won:mary_stoiana_over_0_5,34794-32790-2026-37:betmgm:player_sets_won:mary_stoiana_under_0_5,mary_stoiana:0.5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Paula Badosa,3CAA85511C75,paula_badosa,BetMGM,Player Sets Won,player_sets_won,0.5,True,-600,325,0.857143,0.235294,1.092437,0.784615,0.215385,True,34794-32790-2026-37:betmgm:player_sets_won:paula_badosa_over_0_5,34794-32790-2026-37:betmgm:player_sets_won:paula_badosa_under_0_5,paula_badosa:0.5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Mary Stoiana,0B98FA5735D7A52D,mary_stoiana,DraftKings,Player Break Points Won,player_break_points_won,0.5,True,,1600,,,,,,False,,34794-32790-2026-37:draftkings:player_break_points_won:mary_stoiana_under_0_5,mary_stoiana:0.5,1789692364.3891108,2026-09-18T00:46:04Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Paula Badosa,3CAA85511C75,paula_badosa,DraftKings,Player Break Points Won,player_break_points_won,0.5,True,,2800,,,,,,False,,34794-32790-2026-37:draftkings:player_break_points_won:paula_badosa_under_0_5,paula_badosa:0.5,1789692364.3891108,2026-09-18T00:46:04Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Mary Stoiana,0B98FA5735D7A52D,mary_stoiana,DraftKings,Player Games Won,player_games_won,11.5,True,-115,-120,0.534884,0.545455,1.080338,0.495108,0.504892,True,34794-32790-2026-37:draftkings:player_games_won:mary_stoiana_over_11_5,34794-32790-2026-37:draftkings:player_games_won:mary_stoiana_under_11_5,mary_stoiana:11.5,1789692364.3891108,2026-09-18T00:46:04Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Paula Badosa,3CAA85511C75,paula_badosa,DraftKings,Player Games Won,player_games_won,12.5,True,100,-140,0.500000,0.583333,1.083333,0.461538,0.538462,True,34794-32790-2026-37:draftkings:player_games_won:paula_badosa_over_12_5,34794-32790-2026-37:draftkings:player_games_won:paula_badosa_under_12_5,paula_badosa:12.5,1789692364.3891108,2026-09-18T00:46:04Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Mary Stoiana,0B98FA5735D7A52D,mary_stoiana,DraftKings,Player Sets Won,player_sets_won,0.5,True,-165,110,0.622642,0.476190,1.098832,0.566639,0.433361,True,34794-32790-2026-37:draftkings:player_sets_won:mary_stoiana_over_0_5,34794-32790-2026-37:draftkings:player_sets_won:mary_stoiana_under_0_5,mary_stoiana:0.5,1789692364.3891108,2026-09-18T00:46:04Z
