captured_at,fixture_id,game_id,league,tournament,start_date,status,home_player,away_player,sportsbook,market_id,market,player_id,selection,normalized_selection,selection_line,points,price,is_main,grouping_key,odds_id,odds_timestamp,odds_timestamp_utc
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_games_won,Player Games Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,under,11.5,110,True,suzan_lamens:11.5,43439-90436-2026-37:draftkings:player_games_won:suzan_lamens_under_11_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_sets_won,Player Sets Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,over,0.5,-330,True,nadia_podoroska:0.5,43439-90436-2026-37:draftkings:player_sets_won:nadia_podoroska_over_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_sets_won,Player Sets Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,under,0.5,225,True,nadia_podoroska:0.5,43439-90436-2026-37:draftkings:player_sets_won:nadia_podoroska_under_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_sets_won,Player Sets Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,over,0.5,-215,True,suzan_lamens:0.5,43439-90436-2026-37:draftkings:player_sets_won:suzan_lamens_over_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_sets_won,Player Sets Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,under,0.5,150,True,suzan_lamens:0.5,43439-90436-2026-37:draftkings:player_sets_won:suzan_lamens_under_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,BetMGM,player_sets_won,Player Sets Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,over,0.5,-350,True,kaitlin_quevedo:0.5,33889-27513-2026-37:betmgm:player_sets_won:kaitlin_quevedo_over_0_5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,BetMGM,player_sets_won,Player Sets Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,under,0.5,225,True,kaitlin_quevedo:0.5,33889-27513-2026-37:betmgm:player_sets_won:kaitlin_quevedo_under_0_5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,BetMGM,player_sets_won,Player Sets Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,over,0.5,-220,True,teodora_kostovic:0.5,33889-27513-2026-37:betmgm:player_sets_won:teodora_kostovic_over_0_5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,BetMGM,player_sets_won,Player Sets Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,under,0.5,150,True,teodora_kostovic:0.5,33889-27513-2026-37:betmgm:player_sets_won:teodora_kostovic_under_0_5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_break_points_won,Player Break Points Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,under,0.5,1800,True,kaitlin_quevedo:0.5,33889-27513-2026-37:draftkings:player_break_points_won:kaitlin_quevedo_under_0_5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_break_points_won,Player Break Points Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,under,0.5,1400,True,teodora_kostovic:0.5,33889-27513-2026-37:draftkings:player_break_points_won:teodora_kostovic_under_0_5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_games_won,Player Games Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,over,12.5,-105,True,kaitlin_quevedo:12.5,33889-27513-2026-37:draftkings:player_games_won:kaitlin_quevedo_over_12_5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_games_won,Player Games Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,under,12.5,-140,True,kaitlin_quevedo:12.5,33889-27513-2026-37:draftkings:player_games_won:kaitlin_quevedo_under_12_5,1789677564.4160278,2026-09-17T20:39:24Z
