cutoff_date,fold_number,metric,metric_value,modelversion,row_count,run_timestamp,sport,stat_target,test_end_date
2015-03-01,3,prediction_bin_01_coverage,0.5882352941176471,gbm_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_02_coverage,0.8235294117647058,gbm_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_03_coverage,0.6285714285714286,gbm_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_04_coverage,0.5882352941176471,gbm_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_05_coverage,0.6857142857142857,gbm_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_06_coverage,0.7352941176470589,gbm_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_07_coverage,0.7647058823529411,gbm_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_08_coverage,0.6571428571428571,gbm_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_09_coverage,0.6176470588235294,gbm_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_10_coverage,0.9142857142857143,gbm_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae,2.8864606273502087,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,rmse,3.7538273133017275,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mean_bias,1.1275542181480078,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_coverage,0.6773255813953488,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_crossing_count,0.0,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_repair_count,0.0,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae_improvement_over_baseline,5.866887633989867,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_01_coverage,0.6176470588235294,ensemble_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_02_coverage,0.7058823529411765,ensemble_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_03_coverage,0.7142857142857143,ensemble_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_04_coverage,0.6764705882352942,ensemble_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_05_coverage,0.6857142857142857,ensemble_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_06_coverage,0.7941176470588235,ensemble_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_07_coverage,0.6470588235294118,ensemble_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_08_coverage,0.6571428571428571,ensemble_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_09_coverage,0.6176470588235294,ensemble_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_10_coverage,0.6571428571428571,ensemble_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae_absolute_objective,2.8864606273502087,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,weight_absolute_baseline_v1_aces,0.7672710278838315,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,weight_absolute_gbm_v1_aces,0.23272897211616847,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae_squared_objective,2.876644452577433,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,weight_squared_baseline_v1_aces,0.7544400224185039,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,weight_squared_gbm_v1_aces,0.2455599775814961,ensemble_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-04-01,4,mae,2.2784260137304986,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,rmse,3.1221080407505797,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mean_bias,-1.0102420381859767,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_coverage,0.7627118644067796,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_crossing_count,0.0,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_repair_count,0.0,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae_improvement_over_baseline,0.0,baseline_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_01_coverage,0.6585365853658537,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_02_coverage,0.6341463414634146,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_03_coverage,0.7317073170731707,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_04_coverage,0.7857142857142857,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_05_coverage,0.9024390243902439,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_06_coverage,0.7560975609756098,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_07_coverage,0.7380952380952381,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_08_coverage,0.8536585365853658,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_09_coverage,0.8780487804878049,baseline_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_10_coverage,0.6904761904761905,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae,2.36454876115844,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,rmse,3.11888326805601,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mean_bias,0.1797320323673776,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_coverage,0.7602905569007264,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_crossing_count,0.0,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_repair_count,0.0,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae_improvement_over_baseline,-3.779922934031611,gbm_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_01_coverage,0.8780487804878049,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_02_coverage,0.8780487804878049,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_03_coverage,0.8048780487804879,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_04_coverage,0.7619047619047619,gbm_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_05_coverage,0.7804878048780488,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_06_coverage,0.6341463414634146,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_07_coverage,0.6190476190476191,gbm_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_08_coverage,0.7317073170731707,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_09_coverage,0.7073170731707317,gbm_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_10_coverage,0.8095238095238095,gbm_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae,2.237449203717293,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,rmse,2.9901100751435945,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mean_bias,-0.5500676516704515,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_coverage,0.7651331719128329,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_crossing_count,0.0,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,interval_repair_count,0.0,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae_improvement_over_baseline,1.798470073913597,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_01_coverage,0.7317073170731707,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_02_coverage,0.7073170731707317,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_03_coverage,0.7073170731707317,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_04_coverage,0.7619047619047619,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_05_coverage,0.7804878048780488,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_06_coverage,0.7804878048780488,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_07_coverage,0.7142857142857143,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_08_coverage,0.8048780487804879,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_09_coverage,0.8536585365853658,ensemble_v1_aces,41,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,prediction_bin_10_coverage,0.8095238095238095,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae_absolute_objective,2.237449203717293,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,weight_absolute_baseline_v1_aces,0.6132904086712259,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,weight_absolute_gbm_v1_aces,0.3867095913287741,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,mae_squared_objective,2.237453045189716,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,weight_squared_baseline_v1_aces,0.6036808165752,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-04-01,4,weight_squared_gbm_v1_aces,0.39631918342479994,ensemble_v1_aces,413,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-05-01
2015-05-01,5,mae,5.423739581334251,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
